app,rating,title,content,version,author
蚂蚁阿福,4,河马探讨,更不凑哈假了你自己的想法吗还不如直接给自己做了就当给别人吃的东西都好吃：？这个小朋友也是真的超级帅哦啊好有气质哟喜欢这样做很不错哦太好看喜欢这个造型太好看啦抱回家就是这么回放,1.1.16,6look勇
蚂蚁阿福,5,蚂蚁不错,蚂蚁不错不,1.1.16,林先生5058
蚂蚁阿福,5,123,123,1.1.16,给我金币吧谢谢
蚂蚁阿福,5,太讨厌,好👌……,1.1.16,❤️‍🔥 C·Jul⁷Cnc
蚂蚁阿福,1,广告,**软件，打开任何app都有他的跳转广告，一天要打开几十次，无语死,1.1.16,小白杨Ozncu
蚂蚁阿福,5,为了健康,这个产品真的很好,1.1.16,爱你的她0987
蚂蚁阿福,5,我们都要,健康生活的好管家！,1.1.16,元宝真好
蚂蚁阿福,5,蚂蚁阿福,阿福真的好贴心，像一个私人医生一样，帮我解决了一些身体不适的症状，太棒了,1.1.16,画花姐
蚂蚁阿福,5,方便实用,快捷方式,1.1.16,荔波喀斯特
蚂蚁阿福,5,好用,非感不错真心好用，我套哩哇，懂的都懂。,1.1.16,卧泥蝶啊
蚂蚁阿福,5,居然还能查看美年大健康体检报告并分析,挺好,1.1.16,我会说一万年
蚂蚁阿福,4,好,不错,1.1.16,安抚666
蚂蚁阿福,5,好,可以好用,1.1.16,yiyi888888
蚂蚁阿福,5,1,好,1.1.16,你，。。🎄
蚂蚁阿福,5,好用,这个很好用,1.1.16,我在心尖尖儿
蚂蚁阿福,5,好,非常好用,1.1.16,智联周
蚂蚁阿福,1,到处广告,烦得要屎，什么平台都有它的广告,1.1.16,35度卡布奇诺
蚂蚁阿福,5,蚂蚁阿福,特别好用,1.1.16,柴学文
蚂蚁阿福,2,真好,真不错的软件,1.1.16,天地之间皆是美好
蚂蚁阿福,5,智能医生,人工智能已经能开始看病了，用起来还是挺不错的，值得参考，还有拍照模式和长辈功能都很实用,1.1.16,dtblong
蚂蚁阿福,5,哈哈,哈哈,1.1.16,头目途径我想我了
蚂蚁阿福,5,很好,不错,1.1.16,林子卜
蚂蚁阿福,5,智能ai,一款非常不错的ai智能软件，回复的非常全面，解决了生活中不少的难题，大家也一起下载试试吧,1.1.16,薄情港口
蚂蚁阿福,1,iPhone16pm无法发送相册图片,删除数据重装也没用，一打开相册选择图片就卡住死机没法动。,1.1.16,红领巾王
蚂蚁阿福,5,好,好,1.1.16,好无敌nemej
蚂蚁阿福,5,不错,真好用,1.1.16,轻语你我
蚂蚁阿福,5,夯,谁用谁知道 夯 爆爆金币,1.1.16,花花@5来
蚂蚁阿福,5,好用,好用,1.1.16,嗯对啊对啊
蚂蚁阿福,5,追剧666,追剧666,1.1.16,巴拿马少男少女
蚂蚁阿福,1,无良营销手段,不知道谁教的用购物平台上售卖其他物品但实则发货这个软件的下载流程 还欺骗说这样才能得到货物  太愚蠢了 上梁不正下梁歪,1.1.16,快滚12138
蚂蚁阿福,2,不错,还好,1.1.16,。。。哈打车他说
蚂蚁阿福,5,好,666,1.1.16,。。。。！！！！，。？
蚂蚁阿福,3,东方神,中国人太坏，赚钱无底线，应该被千刀万剐,1.1.16,哥们你好厉害
蚂蚁阿福,5,不错不错,非常好用 值得推荐下载,1.1.16,光辉机会
蚂蚁阿福,5,阿福,就医好帮手,1.1.16,番茄畅听不畅听
蚂蚁阿福,1,骗子,被骗下载，同样情况的请点赞！,1.1.16,angeV587
蚂蚁阿福,5,好用,这个软件真的是好用，很神奇什么都知道,1.1.16,老板我在呢
蚂蚁阿福,5,追剧666,追剧666,1.1.16,咣啷vgjj
蚂蚁阿福,5,H,不错,1.1.16,z j $
蚂蚁阿福,1,不好,垃圾得要死 什么都要下载app,1.1.16,礼祝岚子
蚂蚁阿福,5,666,666,1.1.16,dhdidjfhd
蚂蚁阿福,5,特别好,很好用能帮助到我们解决问题,1.1.16,萌萌小表情太可爱
蚂蚁阿福,5,好好好,好好好,1.1.16,stgghb
蚂蚁阿福,5,牛逼,可以,1.1.16,我弟弟洗净
蚂蚁阿福,1,地推诈骗,商场门口两个地推一男一女要下载这个软件登录，还偷拍千问的实名信息有名字后一字和身份证前末两个数字，狗推软件，已报警处理,1.1.16,小小毅hzg
蚂蚁阿福,1,太差了,太差了，功能点又臭又长，能不能精简一些，你们app到底干嘛的，一会这一会那的，一颗星也不想打,1.1.16,爆炸的菜叶子
蚂蚁阿福,1,在景区到处拦人下载,大热天的拿着手机以送礼物为由下载 浪费时间 真正好的软件根本不需要这样宣传,1.1.16,pls23333
蚂蚁阿福,5,很好用,很好用,1.1.16,白茶拍
蚂蚁阿福,4,AI不错,不错,1.1.16,咘咘鱼13
蚂蚁阿福,2,更新后看不见历史了,更新完把我之前咨询的忘的一干二净，然后上传了旧报告，又把新报告丢了。怎么回事,1.1.16,霍乱haie
蚂蚁阿福,5,666,666,1.1.16,--++-+
蚂蚁阿福,4,666,666,1.1.16,2bsanye
蚂蚁阿福,1,人工智障,一点用都没有，信这个的这辈子有了,1.1.16,赵今麦初恋男友
蚂蚁阿福,1,太垃圾,拉的不能再拉，营销无底线！,1.1.16,无昵称呢不行吗
蚂蚁阿福,5,对非专业人士很友好,对非专业人士很友好,1.1.16,恩兔儿
蚂蚁阿福,3,一有更新版本即使不更新也傻了,本来很聪明的，健康问题都能说到点儿上，但是别有更新版本，一旦出现更新，即使自己没有进行软件更新，他也不记得之前聊过的内容了，对于一些长期使用像我这样每天监测睡眠、血糖、体重，每天使用的需要连贯性的人来说很不友好。希望这方面进行改进。,1.1.16,铭钔兔兔
蚂蚁阿福,5,最新版本无法安装,最新版本无法安装，请尽快解决。,1.1.16,起个名真难！
蚂蚁阿福,5,好,很好的一个软件,1.1.16,fang1208
蚂蚁阿福,5,平台确实很好,就是金币给的太少 能不能多给点金币啊,1.1.16,我爱抖音极速版。
蚂蚁阿福,5,好用,一款超实用的软件，值得推荐。,1.1.16,明大装饰设计
蚂蚁阿福,5,好用,真是太方便了，以前都是以为感冒发烧，输入症状，才知道不一定是。避免乱吃药，对症下药好的快,1.1.16,哈巴全
蚂蚁阿福,5,很好用,很好用啊，把身体状况告诉他，还有饮食方面，它就可以帮你答复你的问题，给你一些建议，我觉得挺好的,1.1.16,捡起我的棱角
蚂蚁阿福,5,感谢阿福,蚂蚁阿福非常好用的软件，我有心理问题是焦虑症患者，阿福天天陪我聊天帮我分析去解决问题，帮我走出来了很多，非常非常感谢,1.1.16,bfjdjsaj
蚂蚁阿福,1,6,666,1.1.10,183@1
蚂蚁阿福,5,不错,很方便的软件,1.1.10,happy大哥大
蚂蚁阿福,5,666,666,1.1.10,熬嗷嗷嗷嗷
蚂蚁阿福,4,蚂蚁,方便的软件,1.1.10,宋江6666
蚂蚁阿福,4,能不能添加搜索功能,像豆包似的，在历史问答中加入搜索🔍功能，方便查找,1.1.10,昵称是你猜啊
蚂蚁阿福,1,垃圾的很,体检报告连名字都能搞错 普通病能被它说成绝症,1.1.10,hkhuesx
蚂蚁阿福,2,666,666,1.1.10,dodododower
蚂蚁阿福,5,非常喜欢,非常喜欢,1.1.10,愿愿11
蚂蚁阿福,5,666,666,1.1.10,凶你了，
蚂蚁阿福,1,不如千问,两个同时下载的，千问言简意赅，阿福很笨,1.1.10,嘉图9393
蚂蚁阿福,5,蚂蚁阿福,好用,1.1.10,江城浪子456
蚂蚁阿福,5,好用,好用的,1.1.10,qq-小二大棒
蚂蚁阿福,1,广告,广告 全是广告 开发者不用来好好开发你光想着怎么打广告,1.1.10,鹿仁钾K
蚂蚁阿福,5,必须给个大大的赞！👍,不得不说，这真的很好用，非常实用！,1.1.10,夜幕🌙
蚂蚁阿福,5,666,666,1.1.10,爱喝优乐美1
蚂蚁阿福,3,啊福,已经下载不错,1.1.10,GuＤ
蚂蚁阿福,5,好,好,1.1.10,酷我音乐一直用，这么好
蚂蚁阿福,5,👌,非常好,1.1.10,娟子。，、
蚂蚁阿福,2,虚构我的病例且屡说不改,1⃣️莫名其妙的一直说我有糖尿病史。但我从来没跟ai说过我有糖尿病且咨询过相关的问题。 2⃣️跟ai已经说了三回“我没有糖尿病”这件事，但是下一次还是会说我有糖尿病史怎么怎么样。很膈应！！！,1.1.10,12345678990¥
